""	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"SV_1_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	NA
"SV_2_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Jannaschia"	"Jannaschia_faecimaris(RS_GCF_900107415.1)"
"SV_3_Rhodospirillales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Thalassospiraceae"	"Thalassospira"	NA
"SV_4_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Alteromonas"	"(RS_GCF_001953635.1)"
"SV_5_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"EhC02"	"(RS_GCF_001650895.1)"
"SV_6_Caulobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	"(GB_GCA_002256425.1)"
"SV_7_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Alteromonas"	NA
"SV_8_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Alteromonas"	"(RS_GCF_001953635.1)"
"SV_9_Sphingomonadales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Erythrobacter_A"	NA
"SV_10_Sphingomonadales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Citromicrobium"	"Citromicrobium_bathyomarinum(RS_GCF_001304795.1)"
"SV_11_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Cryomorphaceae"	"Coccinistipes"	NA
"SV_12_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Marivita"	"Marivita_cryptomonadis(RS_GCF_002115725.1)"
"SV_13_Caulobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Hyphomonadaceae"	"Hyphomonas"	NA
"SV_14_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Alteromonas"	"(RS_GCF_001953635.1)"
"SV_15_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Cryomorphaceae"	NA	NA
"SV_16_Sphingomonadales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Citromicrobium"	"(RS_GCF_000186705.1)"
"SV_17_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Alteromonas"	NA
"SV_18_Enterobacterales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Alteromonadaceae"	"Alteromonas"	"(RS_GCF_001953635.1)"
"SV_19_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"SV_20_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Nereida"	"Nereida_ignava(RS_GCF_900114125.1)"
"SV_21_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	NA	NA
"SV_22_Flavobacteriales"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"SV_23_Caulobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Maricaulaceae"	"Maricaulis"	"Maricaulis_maris(RS_GCF_000014745.1)"
"SV_24_Rhodobacterales"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ruegeria_A"	"(RS_GCF_000014065.1)"
"SV_25_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudohongiellaceae"	"OM182"	"OM182_sp1(GB_GCA_001438145.1)"
"SV_26_Pseudomonadales"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Alcanivoracaceae"	"Alcanivorax"	"(RS_GCF_002864685.1)"
